sample_id,n_bbox,n_buildings_exact,n_height,n_num_floors,n_vertical_evidence,height_pct_reparsed,vertical_evidence_pct_reparsed,top_geometry_source,top_geometry_source_share_pct,osm_geometry_share_pct,google_open_buildings_share_pct,microsoft_ml_geometry_share_pct,n_distinct_geometry_sources,top_height_source,top_height_source_share_pct,n_distinct_height_sources,bad_lines,city_name,country,ucdb_region,income_group_ucdb,population_2025,hot_days_ge35,hot_days_ge32,hot_days_ge40,height_pct_from_r14,vertical_evidence_pct_from_r14
ucdb_291,11187,9178,0,0,0,0.0,0.0,Microsoft ML Buildings,63.03116147308781,0.0108956199607757,36.95794290695141,63.03116147308781,3,(none),,0,0,Abu Qurqas,Egypt,Northern Africa and Western Asia,Lower Middle,188954.9862,141.0,181.0,73.0,0.0,0.0
ucdb_094,34930,28420,0,0,0,0.0,0.0,Google Open Buildings,96.93525686136525,3.064743138634765,96.93525686136525,0.0,2,(none),,0,0,Aruppukkottai,India,Central and Southern Asia,Lower Middle,141777.8933,140.0,253.0,25.0,0.0,0.0
ucdb_062,13184,10080,0,0,0,0.0,0.0,Microsoft ML Buildings,99.95039682539682,0.0496031746031746,0.0,99.95039682539682,2,(none),,0,0,Girishk,Afghanistan,Central and Southern Asia,Low income,152092.2053,139.0,162.0,70.0,0.0,0.0
ucdb_288,21688,20821,0,0,0,0.0,0.0,Google Open Buildings,53.38360309303107,41.68867969838144,53.38360309303107,4.927717208587484,3,(none),,0,0,Gaya,Niger,Sub-Saharan Africa,Low income,149329.8705,137.0,213.0,67.0,0.0,0.0
ucdb_295,31234,31027,0,1,1,0.0,0.0032229993231701,Google Open Buildings,85.21287910529539,2.675089438231218,85.21287910529539,12.112031456473394,3,(none),,0,0,Jega,Nigeria,Sub-Saharan Africa,Lower Middle,230737.2099,136.0,235.0,62.0,0.0,0.0032
ucdb_117,20821,16844,0,0,0,0.0,0.0,Microsoft ML Buildings,80.63405366896225,0.0593683210638803,19.30657800997388,80.63405366896225,3,(none),,0,0,دنجواي,Egypt,Northern Africa and Western Asia,Lower Middle,203918.5383,136.0,175.0,62.0,0.0,0.0
ucdb_265,51904,40259,0,6,6,0.0,0.0149034998385454,Google Open Buildings,79.60952830423011,2.7869544698079936,79.60952830423011,17.603517225961895,3,(none),,0,0,Nakhon Sawan,Thailand,Eastern and South-Eastern Asia,Upper Middle,101773.6424,133.0,236.0,48.0,0.0,0.0149
ucdb_242,15171,15155,0,0,0,0.0,0.0,OpenStreetMap,74.51666116793137,74.51666116793137,11.943253051798086,13.54008578027054,3,(none),,0,0,Katsiro,Nigeria,Sub-Saharan Africa,Lower Middle,110443.0948,132.0,188.0,69.0,0.0,0.0
ucdb_064,3961267,3164571,1450,21923,22243,0.0458197967433816,0.7028756820434744,Google Open Buildings,71.60525075910763,10.727899611037325,71.60525075910763,17.66684962985504,3,OpenStreetMap,100.0,1,0,Bangkok,Thailand,Eastern and South-Eastern Asia,Upper Middle,19048031.94,130.0,250.0,39.0,0.0458,0.7029
ucdb_045,1424531,1085601,754,13169,13324,0.0694546154618501,1.227338589408079,Google Open Buildings,57.4210045863996,2.501932109495109,57.4210045863996,40.07706330410528,3,OpenStreetMap,100.0,1,0,Lahore,Pakistan,Central and Southern Asia,Lower Middle,14305060.03,130.0,216.0,74.0,0.0695,1.2273
ucdb_159,42119,33453,0,5,5,0.0,0.0149463426299584,OpenStreetMap,87.31653364421726,87.31653364421726,0.0,12.68346635578274,2,(none),,0,0,Pathein,Myanmar,Eastern and South-Eastern Asia,Lower Middle,226856.9312,130.0,233.0,47.0,0.0,0.0149
ucdb_036,18079,14559,0,0,0,0.0,0.0,Google Open Buildings,99.67717563019438,0.3228243698056185,99.67717563019438,0.0,2,(none),,0,0,Bilimora,India,Central and Southern Asia,Lower Middle,100109.5797,129.0,195.0,56.0,0.0,0.0
ucdb_181,130858,112421,1,3,3,0.0008895135250531,0.0026685405751594,Google Open Buildings,64.66407521726369,0.6822568737157648,64.66407521726369,34.653667909020555,3,OpenStreetMap,100.0,1,0,Monclova,México,Latin America and the Caribbean,Upper Middle,290388.9017,128.0,211.0,32.0,0.0009,0.0027
ucdb_226,19064,18884,0,0,0,0.0,0.0,OpenStreetMap,50.27536538868884,50.27536538868884,39.75852573607286,9.966108875238296,3,(none),,0,0,Dogondoutchi,Niger,Sub-Saharan Africa,Low income,128991.7575,127.0,208.0,79.0,0.0,0.0
ucdb_111,32458,29869,0,12,12,0.0,0.0401754327228899,OpenStreetMap,75.95165556262346,75.95165556262346,24.048344437376542,0.0,2,(none),,0,0,Adilabad,India,Central and Southern Asia,Lower Middle,171170.9281,125.0,156.0,54.0,0.0,0.0402
ucdb_213,49526,40022,1,26,26,0.0024986257558342,0.0649642696516915,Microsoft ML Buildings,90.380290840038,9.61970915996202,0.0,90.380290840038,2,OpenStreetMap,100.0,1,0,At Ta'if,Saudi Arabia,Northern Africa and Western Asia,High income,489682.6141,124.0,180.0,16.0,0.0025,0.065
ucdb_043,215450,132165,0,2,2,0.0,0.0015132599402262,Google Open Buildings,52.44958952824121,0.0665834373699542,52.44958952824121,47.48382703438883,3,(none),,0,0,Bannu,Pakistan,Central and Southern Asia,Lower Middle,637353.248,123.0,176.0,44.0,0.0,0.0015
