sample_id,ucdb_id,city_name,country,country_un_m49,ucdb_region,income_group_ucdb,population_2025,area_km2_2025,is_capital,centroid_lon,centroid_lat,xmin,ymin,xmax,ymax,sample_population_weight,ucdb_id_r,city_name_r,country_r,ucdb_region_r,income_group_ucdb_r,population_2025_r,area_km2_2025_r,status,cli_returncode,download_elapsed_s,n_bbox,n_buildings,n_height,n_num_floors,n_vertical_evidence,bad_lines,height_pct,floors_pct,vertical_evidence_pct,power_ok,hot_days_ge32,hot_days_ge35,hot_days_ge40,t2m_max_p95,t2m_max_max,heat_readiness_mismatch
ucdb_040,1726,G'ijduvon,Uzbekistan,Uzbekistan,Central and Southern Asia,Lower Middle,105500.2166,42.0,0,64.67453382439022,40.09806196714039,64.60876780660695,40.041166110653805,64.73267788736514,40.13962637219886,0.000403849435441,1726,G'ijduvon,Uzbekistan,Central and Southern Asia,Lower Middle,105500.2166,42.0,downloaded,0.0,17.2,36986,20360,1,2,2,0,0.0049,0.0098,0.0098,True,109,86,33,41.41,44.97,True
ucdb_041,5490,Behbahan,Iran,Iran (Islamic Republic of),Central and Southern Asia,Lower Middle,105944.3156,23.0,0,50.240149114413086,30.59194122408065,50.20926601596342,30.56569685558978,50.27495628986133,30.61707132910033,0.0004055494237084,5490,Behbahan,Iran,Central and Southern Asia,Lower Middle,105944.3156,23.0,downloaded,0.0,11.5,132,86,11,0,11,0,12.7907,0.0,12.7907,True,196,167,128,49.02,50.98,False
ucdb_042,3273,Riverside,United States,United States of America,Northern America,High income,495766.989,198.0,0,-117.4798184225211,33.91532122554473,-117.64194900910913,33.8060821406739,-117.30581506867613,34.02312161444957,0.0018977706877804,3273,Riverside,United States,Northern America,High income,495766.989,198.0,downloaded,0.0,34.6,253645,122698,113361,43422,113835,0,92.3903,35.3893,92.7766,True,99,58,10,38.16,43.94,False
ucdb_043,3315,Bannu,Pakistan,Pakistan,Central and Southern Asia,Lower Middle,637353.248,163.0,0,70.62336240268297,32.9789883449446,70.51478624966468,32.862185794524365,70.72803828893852,33.043738753627785,0.002439755648628,3315,Bannu,Pakistan,Central and Southern Asia,Lower Middle,637353.248,163.0,downloaded,0.0,23.7,215450,132165,0,2,2,0,0.0,0.0015,0.0015,True,176,123,44,42.39,45.72,True
ucdb_044,8272,Kotamobagu,Indonesia,Indonesia,Eastern and South-Eastern Asia,Upper Middle,144271.3865,27.0,0,124.3110454086308,0.732841243188903,124.27936322332918,0.7036348560548377,124.32996140643978,0.7683383352935573,0.0005522634916403,8272,Kotamobagu,Indonesia,Eastern and South-Eastern Asia,Upper Middle,144271.3865,27.0,downloaded,0.0,15.0,47099,41012,0,3,3,0,0.0,0.0073,0.0073,True,3,0,0,31.16,32.61,False
ucdb_045,7794,Lahore,Pakistan,Pakistan,Central and Southern Asia,Lower Middle,14305060.03,898.0,0,74.28127362704338,31.527156211892937,73.90572852291967,31.29447276046033,74.5144220661546,31.758564443201827,0.0547590384479472,7794,Lahore,Pakistan,Central and Southern Asia,Lower Middle,14305060.03,898.0,downloaded,0.0,126.7,1424531,1085601,754,13169,13324,0,0.0695,1.2131,1.2273,True,216,130,74,46.4,48.52,True
ucdb_046,253,Buea,Cameroon,Cameroon,Sub-Saharan Africa,Lower Middle,189165.1939,34.0,0,9.27384634686842,4.157037429481905,9.224299653357791,4.134178698222138,9.31459828387204,4.182753805718197,0.0007241146911694,253,Buea,Cameroon,Sub-Saharan Africa,Lower Middle,189165.1939,34.0,downloaded,0.0,19.0,33182,30713,1,6,6,0,0.0033,0.0195,0.0195,True,41,0,0,32.41,34.65,False
ucdb_047,2592,Taraz,Kazakhstan,Kazakhstan,Central and Southern Asia,Upper Middle,234774.6848,94.0,0,71.367052077732,42.8975249654294,71.27439387761001,42.83724357098612,71.45161267032616,42.95550485302952,0.0008987054905471,2592,Taraz,Kazakhstan,Central and Southern Asia,Upper Middle,234774.6848,94.0,downloaded,0.0,29.5,96671,77688,3,2109,2111,0,0.0039,2.7147,2.7173,True,73,40,4,37.61,42.16,False
ucdb_048,295,Bujumbura,Burundi,Burundi,Sub-Saharan Africa,Low income,1403418.731,141.0,0,29.368865223942795,-3.3816028979029715,29.295535777245902,-3.494707691030228,29.436580798624057,-3.300472488539701,0.0053722151524168,295,Bujumbura,Burundi,Sub-Saharan Africa,Low income,1403418.731,141.0,downloaded,0.0,26.6,284878,244127,3258,91,3313,0,1.3346,0.0373,1.3571,True,0,0,0,29.7,31.37,False
ucdb_049,1569,Cabimas,Venezuela,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Upper Middle,299559.3463,65.0,0,-71.43853901234772,10.37916371710991,-71.48924930948861,10.3007207308195,-71.3948839433397,10.430941459450208,0.0011466978626501,1569,Cabimas,Venezuela,Latin America and the Caribbean,Upper Middle,299559.3463,65.0,downloaded,0.0,16.1,97785,91568,0,3,3,0,0.0,0.0033,0.0033,True,355,314,60,41.25,43.04,True
